origin_location_code,origin_has_hrp,origin_in_gho,asylum_location_code,asylum_has_hrp,asylum_in_gho,population_group,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
KEN,False,True,AUT,False,False,ASY,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,ASY,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,ASY,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,ASY,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,ASY,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,ASY,m,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,ASY,all,all,None,None,8,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,REF,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,REF,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,REF,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,REF,f,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,REF,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,REF,f,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,REF,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,REF,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,REF,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,REF,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,REF,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,REF,m,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,AUT,False,False,REF,all,all,None,None,17,2022-01-01,2022-12-31
KEN,False,True,BDI,False,False,OOC,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,BDI,False,False,OOC,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,BDI,False,False,OOC,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,BDI,False,False,OOC,f,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,BDI,False,False,OOC,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,BDI,False,False,OOC,f,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,BDI,False,False,OOC,m,0-4,0,4,5,2022-01-01,2022-12-31
KEN,False,True,BDI,False,False,OOC,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,BDI,False,False,OOC,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,BDI,False,False,OOC,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,BDI,False,False,OOC,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,BDI,False,False,OOC,m,all,None,None,5,2022-01-01,2022-12-31
KEN,False,True,BDI,False,False,OOC,all,all,None,None,5,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,ASY,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,ASY,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,ASY,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,ASY,f,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,ASY,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,ASY,f,all,None,None,10,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,ASY,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,ASY,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,ASY,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,ASY,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,ASY,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,ASY,m,all,None,None,5,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,ASY,all,all,None,None,15,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,REF,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,REF,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,REF,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,REF,f,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,REF,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,REF,f,all,None,None,6,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,REF,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,REF,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,REF,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,REF,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,REF,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,REF,m,all,None,None,9,2022-01-01,2022-12-31
KEN,False,True,BEL,False,False,REF,all,all,None,None,15,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,ASY,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,ASY,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,ASY,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,ASY,f,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,ASY,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,ASY,f,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,ASY,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,ASY,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,ASY,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,ASY,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,ASY,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,ASY,m,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,ASY,all,all,None,None,54,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,REF,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,REF,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,REF,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,REF,f,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,REF,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,REF,f,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,REF,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,REF,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,REF,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,REF,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,REF,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,REF,m,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,BRA,False,True,REF,all,all,None,None,11,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,ASY,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,ASY,f,5-11,5,11,6,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,ASY,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,ASY,f,18-59,18,59,153,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,ASY,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,ASY,f,all,None,None,159,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,ASY,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,ASY,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,ASY,m,12-17,12,17,6,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,ASY,m,18-59,18,59,124,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,ASY,m,60+,60,None,5,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,ASY,m,all,None,None,135,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,ASY,all,all,None,None,401,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,REF,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,REF,f,5-11,5,11,12,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,REF,f,12-17,12,17,9,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,REF,f,18-59,18,59,242,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,REF,f,60+,60,None,7,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,REF,f,all,None,None,270,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,REF,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,REF,m,5-11,5,11,8,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,REF,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,REF,m,18-59,18,59,200,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,REF,m,60+,60,None,5,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,REF,m,all,None,None,213,2022-01-01,2022-12-31
KEN,False,True,CAN,False,False,REF,all,all,None,None,483,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,ASY,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,ASY,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,ASY,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,ASY,f,18-59,18,59,9,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,ASY,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,ASY,f,all,None,None,9,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,ASY,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,ASY,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,ASY,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,ASY,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,ASY,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,ASY,m,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,ASY,all,all,None,None,9,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,REF,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,REF,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,REF,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,REF,f,18-59,18,59,9,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,REF,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,REF,f,all,None,None,9,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,REF,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,REF,m,5-11,5,11,8,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,REF,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,REF,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,REF,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,REF,m,all,None,None,8,2022-01-01,2022-12-31
KEN,False,True,CHE,False,False,REF,all,all,None,None,37,2022-01-01,2022-12-31
KEN,False,True,CHL,False,True,REF,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,CHL,False,True,REF,f,5-11,5,11,5,2022-01-01,2022-12-31
KEN,False,True,CHL,False,True,REF,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,CHL,False,True,REF,f,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,CHL,False,True,REF,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,CHL,False,True,REF,f,all,None,None,5,2022-01-01,2022-12-31
KEN,False,True,CHL,False,True,REF,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,CHL,False,True,REF,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,CHL,False,True,REF,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,CHL,False,True,REF,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,CHL,False,True,REF,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,CHL,False,True,REF,m,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,CHL,False,True,REF,all,all,None,None,5,2022-01-01,2022-12-31
KEN,False,True,CHN,False,False,ASY,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,CHN,False,False,ASY,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,CHN,False,False,ASY,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,CHN,False,False,ASY,f,18-59,18,59,6,2022-01-01,2022-12-31
KEN,False,True,CHN,False,False,ASY,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,CHN,False,False,ASY,f,all,None,None,6,2022-01-01,2022-12-31
KEN,False,True,CHN,False,False,ASY,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,CHN,False,False,ASY,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,CHN,False,False,ASY,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,CHN,False,False,ASY,m,18-59,18,59,5,2022-01-01,2022-12-31
KEN,False,True,CHN,False,False,ASY,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,CHN,False,False,ASY,m,all,None,None,5,2022-01-01,2022-12-31
KEN,False,True,CHN,False,False,ASY,all,all,None,None,11,2022-01-01,2022-12-31
KEN,False,True,CYP,False,False,ASY,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,CYP,False,False,ASY,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,CYP,False,False,ASY,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,CYP,False,False,ASY,f,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,CYP,False,False,ASY,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,CYP,False,False,ASY,f,all,None,None,8,2022-01-01,2022-12-31
KEN,False,True,CYP,False,False,ASY,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,CYP,False,False,ASY,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,CYP,False,False,ASY,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,CYP,False,False,ASY,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,CYP,False,False,ASY,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,CYP,False,False,ASY,m,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,CYP,False,False,ASY,all,all,None,None,8,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,ASY,f,0-4,0,4,27,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,ASY,f,5-11,5,11,7,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,ASY,f,12-17,12,17,5,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,ASY,f,18-59,18,59,236,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,ASY,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,ASY,f,all,None,None,275,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,ASY,m,0-4,0,4,14,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,ASY,m,5-11,5,11,16,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,ASY,m,12-17,12,17,6,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,ASY,m,18-59,18,59,163,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,ASY,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,ASY,m,all,None,None,199,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,ASY,all,all,None,None,474,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,REF,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,REF,f,5-11,5,11,6,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,REF,f,12-17,12,17,6,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,REF,f,18-59,18,59,79,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,REF,f,60+,60,None,8,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,REF,f,all,None,None,104,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,REF,m,0-4,0,4,5,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,REF,m,5-11,5,11,5,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,REF,m,12-17,12,17,5,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,REF,m,18-59,18,59,36,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,REF,m,60+,60,None,5,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,REF,m,all,None,None,56,2022-01-01,2022-12-31
KEN,False,True,DEU,False,False,REF,all,all,None,None,160,2022-01-01,2022-12-31
KEN,False,True,DNK,False,False,REF,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,DNK,False,False,REF,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,DNK,False,False,REF,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,DNK,False,False,REF,f,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,DNK,False,False,REF,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,DNK,False,False,REF,f,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,DNK,False,False,REF,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,DNK,False,False,REF,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,DNK,False,False,REF,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,DNK,False,False,REF,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,DNK,False,False,REF,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,DNK,False,False,REF,m,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,DNK,False,False,REF,all,all,None,None,5,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,ASY,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,ASY,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,ASY,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,ASY,f,18-59,18,59,6,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,ASY,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,ASY,f,all,None,None,6,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,ASY,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,ASY,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,ASY,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,ASY,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,ASY,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,ASY,m,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,ASY,all,all,None,None,6,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,REF,f,0-4,0,4,7,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,REF,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,REF,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,REF,f,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,REF,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,REF,f,all,None,None,7,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,REF,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,REF,m,5-11,5,11,5,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,REF,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,REF,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,REF,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,REF,m,all,None,None,5,2022-01-01,2022-12-31
KEN,False,True,EGY,False,True,REF,all,all,None,None,12,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,ASY,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,ASY,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,ASY,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,ASY,f,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,ASY,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,ASY,f,all,None,None,5,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,ASY,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,ASY,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,ASY,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,ASY,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,ASY,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,ASY,m,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,ASY,all,all,None,None,5,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,REF,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,REF,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,REF,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,REF,f,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,REF,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,REF,f,all,None,None,11,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,REF,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,REF,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,REF,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,REF,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,REF,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,REF,m,all,None,None,5,2022-01-01,2022-12-31
KEN,False,True,ESP,False,False,REF,all,all,None,None,16,2022-01-01,2022-12-31
KEN,False,True,ETH,False,True,REF,f,0-4,0,4,103,2022-01-01,2022-12-31
KEN,False,True,ETH,False,True,REF,f,5-11,5,11,546,2022-01-01,2022-12-31
KEN,False,True,ETH,False,True,REF,f,12-17,12,17,289,2022-01-01,2022-12-31
KEN,False,True,ETH,False,True,REF,f,18-59,18,59,994,2022-01-01,2022-12-31
KEN,False,True,ETH,False,True,REF,f,60+,60,None,165,2022-01-01,2022-12-31
KEN,False,True,ETH,False,True,REF,f,all,None,None,2097,2022-01-01,2022-12-31
KEN,False,True,ETH,False,True,REF,m,0-4,0,4,124,2022-01-01,2022-12-31
KEN,False,True,ETH,False,True,REF,m,5-11,5,11,580,2022-01-01,2022-12-31
KEN,False,True,ETH,False,True,REF,m,12-17,12,17,321,2022-01-01,2022-12-31
KEN,False,True,ETH,False,True,REF,m,18-59,18,59,768,2022-01-01,2022-12-31
KEN,False,True,ETH,False,True,REF,m,60+,60,None,133,2022-01-01,2022-12-31
KEN,False,True,ETH,False,True,REF,m,all,None,None,1926,2022-01-01,2022-12-31
KEN,False,True,ETH,False,True,REF,all,all,None,None,4023,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,ASY,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,ASY,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,ASY,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,ASY,f,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,ASY,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,ASY,f,all,None,None,7,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,ASY,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,ASY,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,ASY,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,ASY,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,ASY,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,ASY,m,all,None,None,6,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,ASY,all,all,None,None,13,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,REF,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,REF,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,REF,f,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,REF,f,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,REF,f,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,REF,f,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,REF,m,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,REF,m,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,REF,m,12-17,12,17,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,REF,m,18-59,18,59,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,REF,m,60+,60,None,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,REF,m,all,None,None,0,2022-01-01,2022-12-31
KEN,False,True,FIN,False,False,REF,all,all,None,None,18,2022-01-01,2022-12-31
KEN,False,True,FRA,False,False,ASY,f,0-4,0,4,0,2022-01-01,2022-12-31
KEN,False,True,FRA,False,False,ASY,f,5-11,5,11,0,2022-01-01,2022-12-31
KEN,False,True,FRA,False,False,ASY,f,12-17,12,17,0,2022-01-01,2022-12-31
