origin_location_code,origin_has_hrp,origin_in_gho,asylum_location_code,asylum_has_hrp,asylum_in_gho,population_group,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
CAF,True,True,KEN,False,True,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
CAF,True,True,KEN,False,True,ASY,m,18-59,18,59,5,2020-01-01,2020-12-31
CAF,True,True,KEN,False,True,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
CAF,True,True,KEN,False,True,ASY,m,all,None,None,5,2020-01-01,2020-12-31
CAF,True,True,KEN,False,True,ASY,all,all,None,None,10,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,ASY,f,18-59,18,59,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,ASY,f,all,None,None,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,ASY,m,5-11,5,11,5,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,ASY,m,18-59,18,59,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,ASY,m,all,None,None,5,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,ASY,all,all,None,None,5,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,REF,f,60+,60,None,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,REF,f,all,None,None,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,REF,m,18-59,18,59,5,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,REF,m,60+,60,None,0,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,REF,m,all,None,None,5,2020-01-01,2020-12-31
CIV,False,False,KEN,False,True,REF,all,all,None,None,5,2020-01-01,2020-12-31
CMR,True,True,KEN,False,True,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
CMR,True,True,KEN,False,True,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
CMR,True,True,KEN,False,True,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
CMR,True,True,KEN,False,True,ASY,f,18-59,18,59,9,2020-01-01,2020-12-31
CMR,True,True,KEN,False,True,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
CMR,True,True,KEN,False,True,ASY,f,all,None,None,9,2020-01-01,2020-12-31
CMR,True,True,KEN,False,True,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
CMR,True,True,KEN,False,True,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
CMR,True,True,KEN,False,True,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
CMR,True,True,KEN,False,True,ASY,m,18-59,18,59,46,2020-01-01,2020-12-31
CMR,True,True,KEN,False,True,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
CMR,True,True,KEN,False,True,ASY,m,all,None,None,46,2020-01-01,2020-12-31
CMR,True,True,KEN,False,True,ASY,all,all,None,None,55,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,ASY,f,0-4,0,4,775,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,ASY,f,5-11,5,11,1090,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,ASY,f,12-17,12,17,1243,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,ASY,f,18-59,18,59,3726,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,ASY,f,60+,60,None,136,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,ASY,f,all,None,None,6970,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,ASY,m,0-4,0,4,826,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,ASY,m,5-11,5,11,1162,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,ASY,m,12-17,12,17,1243,2020-01-01,2020-12-31
